Ürün Grup ID,Varyant ID,İsim,Satış Fiyatı,İndirimli Fiyatı,Varyant Tip 1,Varyant Değer 1,Varyant Tip 2,Varyant Değer 2
c9624269-ebd5-4b04-852c-737eb8fe21cd,259ad2b5-e35c-43c7-9700-7419cfc9e34f,Fil Temalı Yenidoğan Hediye Sandığı ,2530,2264.9,Teslimat,Gel Al,,
c9624269-ebd5-4b04-852c-737eb8fe21cd,43ebac7e-2e58-460c-b019-43434f224d5c,Fil Temalı Yenidoğan Hediye Sandığı ,2915,2651,Teslimat,Konuma Teslimat,,
2f60844d-b8ea-490e-9e03-83fb1720c2b9,73b5fcdc-cd75-44d7-aabe-430957b2a9cd,Geyik Amigurumi El Örgüsü Çıngırak Oyuncak,417.89,340.89,,,,
ab6a57af-03b5-4d82-b57c-fdeed5e89d50,32daa83d-ffa6-4fee-9d2b-48c1f00eab07,Gökkuşağı Desen ve Düz Renkli 2'li Bebek Müslin Örtü Seti,638,484,,,,
3a8a7d46-febe-4bfb-8323-ea7c96dcff94,f9cfc0f8-55a4-4c24-bcbc-e57148c431b1,"Hardal Yenidoğan İlk Ay Seti – Fitilli Tayt, Fular, Emzik Askısı ve Desenli Müslin Örtü Takım",880,813.89,,,,
1d802d7c-2bb6-4cb3-8cc2-f506f0af8fc9,733b9b18-6677-4e92-9976-ba30a20af3e8,"Harry Potter Yenidoğan İlk Ay Seti – Fitilli Tayt, Fular, Emzik Askısı ve Desenli Müslin Örtü Takım",880,813.89,,,,
66e70d40-2ae5-45c6-9a43-a5a5018cd7d6,ef286e49-b27c-4b2b-8edf-d8d2b92d1255,Harry Potter ve Düz Renkli 2'li Bebek Müslin Örtü Seti,638,484,,,,
5d0a4f9c-2638-4998-90a3-de63a0cce453,5aa6b338-5402-4ed4-ac05-e5b9498a1cd0,Hayvan Desenli Emzik Akısı- Zürafa,231,192.5,,,,
18ae28da-cb7f-4f5a-b6b1-248bee68fa14,bed9462c-6320-4332-9fcb-fafaf4bdfee7,Hayvanlar Alemi Desen ve Düz Renkli 2'li Bebek Müslin Örtü Seti,638,484,,,,
281a4d23-8965-4817-9059-d578a66c8a61,33767a38-675c-4c97-a700-f5b553a3891e,"Kiremit Yenidoğan İlk Ay Seti – Fitilli Tayt, Fular, Emzik Askısı ve Desenli Müslin Örtü Takım",880,813.89,,,,
c37beda3-bff5-47c8-95ec-34bf2fd84e64,80db6ef4-4af9-4abf-83ae-860ce2346022,Kişiselleştirilebilir Punch İsimlik Bebek Oda & Kapı Süsü – El Yapımı Bebek Odası Dekoru (22 cm),878.9,735.9,Kapı Süsü Aksesuarı Seçimi,Deniz Temalı,,
c37beda3-bff5-47c8-95ec-34bf2fd84e64,95f18303-fe47-4145-be1f-715e20b6a8b6,Kişiselleştirilebilir Punch İsimlik Bebek Oda & Kapı Süsü – El Yapımı Bebek Odası Dekoru (22 cm),878.9,735.9,Kapı Süsü Aksesuarı Seçimi,Ayıcık Temalı,,
c37beda3-bff5-47c8-95ec-34bf2fd84e64,133d65af-3c42-41d6-b15e-d754db17bebc,Kişiselleştirilebilir Punch İsimlik Bebek Oda & Kapı Süsü – El Yapımı Bebek Odası Dekoru (22 cm),878.9,735.9,Kapı Süsü Aksesuarı Seçimi,Renkli PonPon Temalı,,
